stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.20248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20254] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20261] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20273] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20279] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20285] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20291] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20297] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20303] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20308] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20314] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20319] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20325] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20330] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20335] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20341] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20347] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20356] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20363] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20374] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20389] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20398] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20404] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20417] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20426] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20437] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20443] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20464] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20471] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20476] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20482] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20488] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20494] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20511] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20518] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20530] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20537] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20542] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20547] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20551] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20557] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20561] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20566] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20571] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20578] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20585] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20597] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20603] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20607] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20612] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20616] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20620] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20624] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20636] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20641] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20645] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20649] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20653] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20658] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20662] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20667] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20671] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20679] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20683] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20687] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20696] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20721] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20729] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20737] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20743] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20750] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20758] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20766] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20773] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20779] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20786] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20800] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20806] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20814] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20820] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20828] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20835] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20843] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20850] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20858] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20864] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20871] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20879] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20887] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20895] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20903] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20911] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20918] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20923] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20927] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20931] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20935] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20940] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20946] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20952] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20959] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20965] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20987] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21029] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21039] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21047] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21075] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.21100] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.21200] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.21235] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.31319] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.37311] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.37325] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.37340] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.37353] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.37364] Returning d3d_display: 000000000274fbd0
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.37370] al_display=000000000274fbd0
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.37376] al_display->vt=000000000274fa60
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.37536] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.37556] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.37665] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.37681] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.38691] added dtor for timer 0000000002767550, func 00007ffc93fafb3b
dtor     D               dtor.c:196  _al_register_destructor          [   0.38707] added dtor for queue 0000000002767600, func 00007ffc93f9c5dc
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.38714] opening ./img/pacman-icon.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.38769] opening ./img/pacman-icon.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38837] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38850] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38859] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38866] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38874] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38879] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38884] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38889] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.38894] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.38899] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.38906] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.38913] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.38919] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.38979] added dtor for bitmap 000000000276b260, func 00007ffc93f71bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40090] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40112] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40118] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40124] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40131] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40165] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40175] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40181] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.40186] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.40192] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.40198] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.40204] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.40208] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.40246] added dtor for bitmap 00000000027676d0, func 00007ffc93f71bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.43150] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.43176] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.44116] removed dtor for bitmap 00000000027676d0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44263] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44278] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44286] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44294] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44302] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44310] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44319] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44327] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.44336] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.44345] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.44354] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.44369] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.44378] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.44445] added dtor for bitmap 00000000027676d0, func 00007ffc93f71bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.46771] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.46786] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.48023] removed dtor for bitmap 00000000027676d0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48241] opening ./img/sprites.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48314] opening ./img/sprites.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48372] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48386] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48394] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48403] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48414] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48428] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48435] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48441] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.48447] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.48454] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.48460] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.48467] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.48474] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.48518] added dtor for bitmap 000000000276ac70, func 00007ffc93f71bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.56667] opening ./sound/iniciojogo.wav rb
wav      E                wav.c:121  wav_open                         [   0.56718] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.56734] added dtor for sample 00000000027655e0, func 00007ffc940a1a1d
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.56789] opening ./sound/pill.wav rb
wav      E                wav.c:121  wav_open                         [   0.56838] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.56857] added dtor for sample 0000000002765a90, func 00007ffc940a1a1d
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.56884] opening ./sound/musicacopa1.wav rb
wav      E                wav.c:121  wav_open                         [   0.56989] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.57022] added dtor for sample 0000000002765610, func 00007ffc940a1a1d
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.58868] opening ./sound/eatsuperpill.wav rb
wav      E                wav.c:121  wav_open                         [   0.58933] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.58948] added dtor for sample 0000000002765c70, func 00007ffc940a1a1d
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59049] opening ./sound/finalcopa.wav rb
wav      E                wav.c:121  wav_open                         [   0.59105] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59123] added dtor for sample 0000000002765b50, func 00007ffc940a1a1d
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59908] opening ./sound/errou.wav rb
wav      E                wav.c:121  wav_open                         [   0.59948] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59964] added dtor for sample 00000000027658e0, func 00007ffc940a1a1d
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60027] opening ./ttf/crackman.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.60211] Font ./ttf/crackman.ttf loaded with pixel size 0 x 60.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.60255]     ascent=52.0, descent=-12.0, height=63.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.60267] added dtor for ttf_font 0000000002765c10, func 00007ffc94094c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60273] opening ./ttf/arcadepi.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.60372] Font ./ttf/arcadepi.ttf loaded with pixel size 0 x 14.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.60384]     ascent=12.0, descent=-3.0, height=14.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.60391] added dtor for ttf_font 0000000002765640, func 00007ffc94094c05
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61360] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61373] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61382] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61388] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61394] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61401] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61407] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61413] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.61420] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.61426] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.61433] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.61440] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.61446] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.61503] Glyph 50: 44x52 (44x52)
font     D                ttf.c:287  alloc_glyph_region               [   0.61519] Locking glyph region: 00000000027c1a70 0 0 44 52
font     D                ttf.c:167  unlock_current_page              [   0.62450] Unlocking page: 00000000027c1a70
font     D                ttf.c:243  alloc_glyph_region               [   0.62480] Glyph 35: 56x56 (56x56)
font     D                ttf.c:287  alloc_glyph_region               [   0.62489] Locking glyph region: 00000000027c1a70 44 0 56 56
font     D                ttf.c:167  unlock_current_page              [   0.62549] Unlocking page: 00000000027c1a70
font     D                ttf.c:243  alloc_glyph_region               [   0.62587] Glyph 37: 52x52 (52x52)
font     D                ttf.c:287  alloc_glyph_region               [   0.62595] Locking glyph region: 00000000027c1a70 100 0 52 52
font     D                ttf.c:167  unlock_current_page              [   0.62629] Unlocking page: 00000000027c1a70
font     D                ttf.c:243  alloc_glyph_region               [   0.62654] Glyph 36: 45x52 (48x52)
font     D                ttf.c:287  alloc_glyph_region               [   0.62662] Locking glyph region: 00000000027c1a70 152 0 48 52
font     D                ttf.c:167  unlock_current_page              [   0.62690] Unlocking page: 00000000027c1a70
font     D                ttf.c:243  alloc_glyph_region               [   0.62708] Glyph 46: 44x52 (44x52)
font     D                ttf.c:287  alloc_glyph_region               [   0.62714] Locking glyph region: 00000000027c1a70 200 0 44 52
font     D                ttf.c:167  unlock_current_page              [   0.62737] Unlocking page: 00000000027c1a70
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62767] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62776] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62783] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62789] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62795] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62801] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62807] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62813] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.62819] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.62825] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.62831] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.62837] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.62844] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.62926] Glyph 42: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.62939] Locking glyph region: 00000000027c4230 0 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.62988] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63014] Glyph 50: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63024] Locking glyph region: 00000000027c4230 12 0 12 12
font     D                ttf.c:167  unlock_current_page              [   0.63055] Unlocking page: 00000000027c4230
font     D                ttf.c:243  alloc_glyph_region               [   0.63076] Glyph 47: 12x12 (12x12)
font     D                ttf.c:287  alloc_glyph_region               [   0.63084] Locking glyph region: 00000000027c4230 24 0 12 12
